,Coefficients
original_shape_Compactness2,-0.07208664574508505
exponential_glszm_SmallAreaEmphasis,-0.0272009852076992
wavelet-HHH_firstorder_Skewness,-0.015654266799974774
exponential_glszm_SmallAreaLowGrayLevelEmphasis,-0.008773151286152955
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,-0.007407965244832829
wavelet-LHL_firstorder_Skewness,-0.006025987859852257
squareroot_glrlm_LongRunLowGrayLevelEmphasis,-0.003764331020216964
exponential_glszm_SmallAreaHighGrayLevelEmphasis,-0.003733335802952613
wavelet-HLL_glcm_Imc1,0.0007572969452929978
wavelet-LLH_firstorder_Skewness,0.006587528428787851
squareroot_glszm_LargeAreaHighGrayLevelEmphasis,0.007978718274068885
wavelet-HHH_glszm_SizeZoneNonUniformity,0.020410138868833517
wavelet-HHL_glszm_GrayLevelNonUniformity,0.02825332750411888
original_shape_Maximum2DDiameterRow,0.051761416685909854
original_shape_SurfaceArea,0.06298370570175073
logarithm_glrlm_GrayLevelNonUniformity,0.09359282259867693
intercept(non-feature),0.44000000000000006
